,xG,npxG,goals,xA,assists,key_passes,shots,xGChain,minutes,team_xGA,team_xG,opponent_xGA,opponent_xG,team_goals_conceded,team_goals_scored,saves,opponent_attack_strength,opponent_defense_strength,points
5124,0.0,0.0,0,0.0,0,0,0,0.0,90,0.7357670000000001,0.529676,43.14924539672211,49.14518130477518,0.0,1.0,3.0,1130.0,1220.0,9.0
295,1.0725711584091189,1.0725711584091189,2,0.0,0,0,3,1.0725711584091189,90,1.39037,1.98553,43.14924539672211,49.14518130477518,0.0,3.0,0.0,1130.0,1220.0,13.0
5157,0.0,0.0,0,0.0,0,0,0,0.0,90,2.1065,0.533575,43.14924539672211,49.14518130477518,3.0,1.0,1.0,1150.0,1210.0,1.0
5177,0.0,0.0,0,0.0,0,0,0,0.2893429696559906,90,0.73944,0.736172,43.14924539672211,49.14518130477518,0.0,1.0,4.0,1130.0,1220.0,10.0
5193,0.0,0.0,0,0.0,0,0,0,0.37226510047912603,90,0.73944,0.736172,43.14924539672211,49.14518130477518,0.0,1.0,0.0,1130.0,1220.0,6.0
5246,0.01566825434565544,0.01566825434565544,0,0.0,0,0,1,0.5226732492446899,90,0.661135,1.11296,43.14924539672211,49.14518130477518,1.0,1.0,0.0,1130.0,1220.0,1.0
281,0.34791913628578186,0.34791913628578186,1,0.08352214843034744,0,1,4,0.9322277307510376,90,0.679649,1.19792,43.14924539672211,49.14518130477518,0.0,1.0,0.0,1150.0,1210.0,9.0
5296,0.00909247063100338,0.00909247063100338,0,0.0,0,0,1,0.00909247063100338,26,2.5369200000000003,1.10374,43.14924539672211,49.14518130477518,0.0,1.0,0.0,1150.0,1210.0,0.0
5313,0.0,0.0,0,0.0,0,0,0,0.0,20,2.85573,0.8391280000000001,43.14924539672211,49.14518130477518,1.0,1.0,0.0,1130.0,1220.0,1.0
269,0.0,0.0,0,0.029053423553705212,0,1,0,0.0,24,0.8383219999999999,1.43023,43.14924539672211,49.14518130477518,0.0,1.0,0.0,1150.0,1210.0,1.0
5341,0.0,0.0,0,0.0,0,0,0,0.06595692038536073,90,2.1628700000000003,0.126327,43.14924539672211,49.14518130477518,3.0,0.0,0.0,1150.0,1210.0,2.0
5368,0.0,0.0,0,0.0,0,0,0,0.0,90,4.03429,0.8698739999999999,43.14924539672211,49.14518130477518,4.0,0.0,8.0,1150.0,1210.0,2.0
5137,0.0,0.0,0,0.0,0,0,0,0.038839932531118386,90,1.25206,0.661744,43.14924539672211,49.14518130477518,1.0,2.0,1.0,1150.0,1210.0,2.0
334,0.06971035152673721,0.06971035152673721,0,0.0,0,0,1,0.2100898176431656,90,0.368554,0.709634,43.14924539672211,49.14518130477518,0.0,0.0,0.0,1130.0,1220.0,3.0
4803,0.0,0.0,0,0.12708842754364014,0,2,0,0.12708842754364014,90,0.7357670000000001,0.529676,43.14924539672211,49.14518130477518,0.0,1.0,0.0,1130.0,1220.0,7.0
4794,0.0,0.0,0,0.00828729011118412,0,1,0,0.3183731436729431,83,0.747166,1.51332,25.22938484326005,63.14256616402418,0.0,0.0,0.0,1130.0,1220.0,0.0
415,0.1736038327217102,0.1736038327217102,0,0.06601230055093765,0,1,3,0.3469894826412201,76,2.4339,0.9950399999999999,43.14924539672211,49.14518130477518,3.0,1.0,0.0,1150.0,1210.0,2.0
4298,0.0,0.0,0,0.042508501559495926,0,2,0,0.11736556142568587,90,2.1065,0.533575,43.14924539672211,49.14518130477518,3.0,1.0,0.0,1150.0,1210.0,2.0
4326,0.0,0.0,0,0.0,0,0,0,0.11747150123119356,90,0.368554,0.709634,43.14924539672211,49.14518130477518,0.0,0.0,0.0,1130.0,1220.0,3.0
4340,0.05119974538683891,0.05119974538683891,0,0.0,0,0,1,1.0668989419937134,90,1.35217,2.5062900000000004,43.14924539672211,49.14518130477518,3.0,3.0,0.0,1150.0,1210.0,2.0
4367,0.04078109934926033,0.04078109934926033,0,0.09721023589372636,0,2,1,0.05963461473584175,90,1.32902,2.06377,43.14924539672211,49.14518130477518,2.0,1.0,0.0,1130.0,1220.0,2.0
4385,0.0,0.0,0,0.10757817327976227,0,1,0,0.15977534651756287,90,1.3139399999999999,0.7993680000000001,43.14924539672211,49.14518130477518,1.0,0.0,0.0,1150.0,1210.0,2.0
4407,0.0,0.0,0,0.0,0,0,0,0.17527279257774353,73,0.595216,0.390629,43.14924539672211,49.14518130477518,0.0,2.0,0.0,1150.0,1210.0,2.0
391,0.3244557380676269,0.3244557380676269,0,0.0,0,0,4,0.059303265064954765,90,2.1065,0.533575,43.14924539672211,49.14518130477518,3.0,1.0,0.0,1150.0,1210.0,2.0
4429,0.0,0.0,0,0.0,0,0,0,0.27063778042793274,90,2.4339,0.9950399999999999,43.14924539672211,49.14518130477518,3.0,1.0,0.0,1150.0,1210.0,1.0
4435,0.0,0.0,0,0.0,0,0,0,0.5226732492446899,90,0.661135,1.11296,43.14924539672211,49.14518130477518,1.0,1.0,0.0,1130.0,1220.0,1.0
4459,0.0,0.0,0,0.0,0,0,0,0.5561152100563049,90,0.747166,1.51332,43.14924539672211,49.14518130477518,0.0,0.0,0.0,1130.0,1220.0,6.0
4469,0.0,0.0,0,0.0,0,0,0,0.0,90,0.998072,0.394113,43.14924539672211,49.14518130477518,1.0,0.0,0.0,1150.0,1210.0,2.0
377,0.030072467401623726,0.030072467401623726,0,0.1152585744857788,0,1,1,0.1453310400247574,90,0.998072,0.394113,43.14924539672211,49.14518130477518,1.0,0.0,0.0,1150.0,1210.0,2.0
